stream_name,stream,district_name,district,o_zscore,zscore,course_name,course,university_name,university
Biological Science,1,Matara,8,1.5713,15713,Food Science & Technology,4,University of Sri Jeyawardanapura,9
Biological Science,1,Matara,8,-100,-1000000,Food Science & Technology,4,Sabragamuwa University of Sri Lanka,4
Biological Science,1,Matara,8,1.2592,12592,Food Science & Nutrition,5,Wayamba University of Sri Lanka,5
Biological Science,1,Matara,8,1.4518,14518,Agricultural Technology & Management,6,University of Peradeniya,8
Biological Science,1,Matara,8,1.8085,18085,BioChemistry & Molecular Biology,7,University of Colombo,7
Biological Science,1,Matara,8,1.7838,17838,Veterinary Science,8,University of Peradeniya,8
Biological Science,1,Matara,8,1.8652,18652,Dental Surgery,9,University of Peradeniya,8
Biological Science,1,Matara,8,1.8631,18631,Dental Surgery,9,University of Sri Jeyawardanapura,9
Biological Science,1,Matara,8,2.3413,23413,Medicine,10,University of Colombo,7
Biological Science,1,Matara,8,2.1867,21867,Medicine,10,University of Peradeniya,8
Biological Science,1,Matara,8,2.1302,21302,Medicine,10,University of Sri Jeyawardanapura,9
Biological Science,1,Matara,8,2.0513,20513,Medicine,10,University of Kelaniya,10
Biological Science,1,Matara,8,-100,-1000000,Medicine,10,University of Jaffna,1
Biological Science,1,Matara,8,1.9661,19661,Medicine,10,University of Ruhuna,11
Biological Science,1,Matara,8,1.9236,19236,Medicine,10,University of Moratuwa,13
Biological Science,1,Matara,8,-100,-1000000,Medicine,10,"Eastern University ,Sri Lanka",2
Biological Science,1,Matara,8,1.944,19440,Medicine,10,Rajarata University of Sri Lanka,3
Biological Science,1,Matara,8,1.9279,19279,Medicine,10,Sabragamuwa University of Sri Lanka,4
Biological Science,1,Matara,8,1.9625,19625,Medicine,10,Wayamba University of Sri Lanka,5
Biological Science,1,Hambantota,9,0.7509,7509,Agriculture ,1,University of Jaffna,1
Biological Science,1,Hambantota,9,-100,-1000000,Agriculture ,1,"Eastern University ,Sri Lanka",2
